building_id,hail_address,hail_street_name,classification,construction_year,match_stage,match_status,treatment,candidate_address_point_count,candidate_bldgid_count,candidate_bldgids,candidate_addresses,candidate_street_names,matched_bldgid,matched_bldgids,match_reason,review_reason_category,review_reason_summary,override_decision,override_note,override_reviewed_at,pre_override_match_stage,pre_override_match_status,pre_override_matched_bldgid,pre_override_matched_bldgids,pre_override_candidate_bldgids
aberdeen-ave_17r,17r Aberdeen Avenue,Aberdeen Avenue,"Addition, rear, or secondary building",1941,7,review,manual_review_loose_address_proximity,3,2,270-73|274-40,14 Aberdeen Ave|16 Aberdeen Ave|25 Aberdeen Ave,Aberdeen Ave,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (270-73: Δ8 house numbers, 9.7 m, 274-40: Δ1 house numbers, 17.9 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
aberdeen-ave_60,60 Aberdeen Avenue,Aberdeen Avenue,"Addition, rear, or secondary building",1913,7,review,manual_review_loose_address_proximity,3,2,274-23|999-3579,52 Aberdeen Ave|54 Aberdeen Ave|56 Aberdeen Ave,Aberdeen Ave,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (274-23: Δ6 house numbers, 0.0 m, 999-3579: Δ4 house numbers, 16.6 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
albany-st_157,157 Albany Street,Albany Street,Current building,1922,7,review,manual_review_loose_address_proximity,2,1,999-3388,166 Albany St|167 Albany St,Albany St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (999-3388: Δ9 house numbers, 2.7 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
albany-st_251,251 Albany Street,Albany Street,Current building,1919,7,review,manual_review_loose_address_proximity,2,2,699-1|699-4,250 Albany St,Albany St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (699-1: Δ1 house numbers, 0.0 m, 699-4: Δ1 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
albany-st_290,290 Albany Street,Albany Street,Current building,1919,7,review,manual_review_loose_address_proximity,1,1,999-3314,288 Albany St,Albany St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (999-3314: Δ2 house numbers, 1.2 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
albany-st_293-295,293-295 Albany Street,Albany Street,Current building,1906,7,review,manual_review_loose_address_proximity,1,1,999-3314,288 Albany St,Albany St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (999-3314: Δ5 house numbers, 1.2 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
albany-st_298,298 Albany Street,Albany Street,"Addition, rear, or secondary building",1907,7,review,manual_review_loose_address_proximity,1,1,999-3314,288 Albany St,Albany St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (999-3314: Δ10 house numbers, 1.2 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
alewife-brook-pkwy_26-27,26-27 Alewife Brook Parkway,Alewife Brook Parkway,Current building,1928,7,review,manual_review_loose_address_proximity,6,3,3-7|999-3294|999-3302,22 Alewife Brook Pkwy|23 Alewife Brook Pkwy|28 Alewife Brook Pkwy|29 Alewife Brook Pkwy|30 Alewife Brook Pkwy|31 Alewife Brook Pkwy,Alewife Brook Pkwy,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (3-7: Δ1 house numbers, 6.2 m, 999-3294: Δ3 house numbers, 19.8 m, 999-3302: Δ3 house numbers, 17.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
alewife-brook-pkwy_40,40 Alewife Brook Parkway,Alewife Brook Parkway,Current building,1928,7,review,manual_review_loose_address_proximity,4,2,2-3|999-3302,30 Alewife Brook Pkwy|31 Alewife Brook Pkwy|41 Alewife Brook Pkwy|45 Alewife Brook Pkwy,Alewife Brook Pkwy,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (2-3: Δ1 house numbers, 0.0 m, 999-3302: Δ9 house numbers, 17.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
alewife-brook-pkwy_161,161 Alewife Brook Parkway,Alewife Brook Parkway,Current building,1973,7,review,manual_review_loose_address_proximity,1,1,81-2,162 Alewife Brook Pkwy,Alewife Brook Pkwy,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (81-2: Δ1 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
