wikipedia_page_id,wikipedia_title,wikipedia_url,latitude,longitude,match_method,match_distance_meters,candidate_count,candidate_bldgids,matched_bldgid,confidence_status,decision_status,review_reason,previous_title,previous_latitude,previous_longitude
5685,"Cambridge, Massachusetts","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts",42.37361111111111,-71.11055555555555,nearest,21.19,1,328-8,328-8,ambiguous,rejected,Preserved human rejected decision.,,42.37361111111111,-71.11055555555555
18879,Massachusetts Institute of Technology,https://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology,42.3597,-71.0919,contained,0.00,1,668-10,668-10,strong,rejected,Preserved human rejected decision.,,42.3597,-71.0919
33149,World Wide Web Consortium,https://en.wikipedia.org/wiki/World_Wide_Web_Consortium,42.36194444444445,-71.09055555555555,contained,0.00,1,668-32,668-32,strong,rejected,Preserved human rejected decision.,,42.36194444444445,-71.09055555555555
78027,Whirlwind I,https://en.wikipedia.org/wiki/Whirlwind_I,42.361666666666665,-71.09666666666666,contained,0.00,1,673-2,673-2,strong,rejected,Preserved human rejected decision.,,42.361666666666665,-71.09666666666666
102602,Harvard Bridge,https://en.wikipedia.org/wiki/Harvard_Bridge,42.35457,-71.09132,none,,0,,,unmatched,rejected,Preserved human rejected decision.,,42.35457,-71.09132
145664,Stata Center,https://en.wikipedia.org/wiki/Stata_Center,42.36164,-71.090255,contained,0.00,1,668-32,668-32,strong,approved,Preserved human approved decision.,,42.36164,-71.090255
152738,Infinite Corridor,https://en.wikipedia.org/wiki/Infinite_Corridor,42.3594,-71.0925,contained,0.00,1,668-3,668-3,strong,rejected,Preserved human rejected decision.,,42.3594,-71.0925
206795,The Rowland Institute at Harvard,https://en.wikipedia.org/wiki/The_Rowland_Institute_at_Harvard,42.3637,-71.0779,contained,0.00,1,552-7,552-7,strong,approved,Preserved human approved decision.,,42.3637,-71.0779
231988,MIT Sloan School of Management,https://en.wikipedia.org/wiki/MIT_Sloan_School_of_Management,42.360732,-71.083774,contained,0.00,1,680-13,680-13,strong,approved,Preserved human approved decision.,,42.360732,-71.083774
242977,Radcliffe College,https://en.wikipedia.org/wiki/Radcliffe_College,42.38194444444444,-71.12472222222222,contained,0.00,1,206-10,206-10,strong,approved,Preserved human approved decision.,,42.38194444444444,-71.12472222222222
260879,Harvard College,https://en.wikipedia.org/wiki/Harvard_College,42.374,-71.117,contained,0.00,1,318-22,318-22,strong,rejected,Preserved human rejected decision.,,42.374,-71.117
320200,Harvard Yard,https://en.wikipedia.org/wiki/Harvard_Yard,42.37447,-71.11719,nearest,1.61,1,318-16,318-16,ambiguous,rejected,Preserved human rejected decision.,,42.37447,-71.11719
345924,Carpenter Center for the Visual Arts,https://en.wikipedia.org/wiki/Carpenter_Center_for_the_Visual_Arts,42.37361111111111,-71.11430555555555,contained,0.00,1,333-2,333-2,strong,approved,Preserved human approved decision.,,42.37361111111111,-71.11430555555555
360816,Harvard Kennedy School,https://en.wikipedia.org/wiki/Harvard_Kennedy_School,42.37138888888889,-71.12194444444444,nearest,6.90,1,398-8,398-1,ambiguous,approved,Preserved human approved decision.,,42.37138888888889,-71.12194444444444
