wikipedia_page_id,wikipedia_title,wikipedia_url,latitude,longitude,match_method,match_distance_meters,candidate_count,candidate_bldgids,matched_bldgid,confidence_status,decision_status,review_reason,previous_title,previous_latitude,previous_longitude
5685,"Cambridge, Massachusetts","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts",42.37361111111111,-71.11055555555555,nearest,21.19,1,328-8,328-8,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
33149,World Wide Web Consortium,https://en.wikipedia.org/wiki/World_Wide_Web_Consortium,42.36194444444445,-71.09055555555555,contained,0.00,1,668-32,668-32,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
78027,Whirlwind I,https://en.wikipedia.org/wiki/Whirlwind_I,42.361666666666665,-71.09666666666666,contained,0.00,1,673-2,673-2,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
102602,Harvard Bridge,https://en.wikipedia.org/wiki/Harvard_Bridge,42.35457,-71.09132,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
152738,Infinite Corridor,https://en.wikipedia.org/wiki/Infinite_Corridor,42.3594,-71.0925,contained,0.00,1,668-3,668-3,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
242977,Radcliffe College,https://en.wikipedia.org/wiki/Radcliffe_College,42.38194444444444,-71.12472222222222,contained,0.00,1,206-10,206-10,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
260879,Harvard College,https://en.wikipedia.org/wiki/Harvard_College,42.374,-71.117,contained,0.00,1,318-22,318-22,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
320200,Harvard Yard,https://en.wikipedia.org/wiki/Harvard_Yard,42.37447,-71.11719,nearest,1.61,1,318-16,318-16,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
380532,Biogen,https://en.wikipedia.org/wiki/Biogen,42.366194444444446,-71.08699999999999,nearest,16.64,1,591-3,591-3,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
380649,Kendall Square,https://en.wikipedia.org/wiki/Kendall_Square,42.36222222222222,-71.08416666666666,nearest,15.68,1,677-1,677-1,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
386540,MIT Media Lab,https://en.wikipedia.org/wiki/MIT_Media_Lab,42.36045,-71.08737,contained,0.00,1,672-6,672-6,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
391882,American Academy of Arts and Sciences,https://en.wikipedia.org/wiki/American_Academy_of_Arts_and_Sciences,42.380833333333335,-71.11027777777777,contained,0.00,1,223-7,223-7,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
593247,Harvard Square,https://en.wikipedia.org/wiki/Harvard_Square,42.37361111111111,-71.11888888888888,nearest,0.23,1,357-1,357-1,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
650179,Porter Square,https://en.wikipedia.org/wiki/Porter_Square,42.3886,-71.1194,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
719601,MIT Press,https://en.wikipedia.org/wiki/MIT_Press,42.36213888888889,-71.08555555555554,contained,0.00,1,674-11,674-11,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
743808,Longfellow Bridge,https://en.wikipedia.org/wiki/Longfellow_Bridge,42.361635,-71.07541,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
840573,Inman Square,https://en.wikipedia.org/wiki/Inman_Square,42.37372222222222,-71.10083333333333,nearest,10.13,1,368-13,368-13,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
897777,National Bureau of Economic Research,https://en.wikipedia.org/wiki/National_Bureau_of_Economic_Research,42.3697,-71.1127,contained,0.00,1,489-4,489-4,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
966328,Porter station,https://en.wikipedia.org/wiki/Porter_station,42.388333333333335,-71.11902777777777,nearest,3.36,1,999-2464,999-2464,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
983950,"Central Square, Cambridge","https://en.wikipedia.org/wiki/Central_Square,_Cambridge",42.365,-71.1036111111111,contained,0.00,1,608-2,608-2,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
1014446,Lechmere Square,https://en.wikipedia.org/wiki/Lechmere_Square,42.37083333333334,-71.07666666666667,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
1251937,Harvard University Press,https://en.wikipedia.org/wiki/Harvard_University_Press,42.383,-71.12702777777777,contained,0.00,1,188-3,188-3,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
1417402,WMBR,https://en.wikipedia.org/wiki/WMBR,42.36222222222222,-71.08388888888888,nearest,21.71,1,680-6,680-6,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
1503200,Hasty Pudding Theatricals,https://en.wikipedia.org/wiki/Hasty_Pudding_Theatricals,42.37255555555556,-71.1181111111111,contained,0.00,1,389-9,389-9,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
1528987,CfA 1.2 m Millimeter-Wave Telescope,https://en.wikipedia.org/wiki/CfA_1.2_m_Millimeter-Wave_Telescope,42.38167,-71.12853,contained,0.00,1,201-15,201-15,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
1591937,Lechmere station,https://en.wikipedia.org/wiki/Lechmere_station,42.37125,-71.0761,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
1694353,Radcliffe Quadrangle (Harvard),https://en.wikipedia.org/wiki/Radcliffe_Quadrangle_(Harvard),42.3814,-71.12424,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
1750628,"Fresh Pond (Cambridge, Massachusetts)","https://en.wikipedia.org/wiki/Fresh_Pond_(Cambridge,_Massachusetts)",42.38333333333333,-71.15,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
