"ProjectID","Address","Project Name","Prior Site Name","Street Number","Street Name","Project Description","Neighborhood","Project Stage","Year Complete","Developer Name","Zoning","Planning Board Special Permit","Building Permit","Total GFA","Lot Area","FAR","Primary Use","Residential Units","Hotel Rooms","Note","Latitude","Longitude","Coordinates"
"521","55 Wheeler Street","Continentail Can Rehab","","55","Wheeler Street","","12 - Cambridge Highlands","Complete","1981","Bolt, Beranek and Newman","","","","125,000","0","0.00","Office/R&D",,," ","42.39126578752","-71.14448967493","POINT (-71.1444896749299 42.391265787521)"
"539","11 Cambridge Parkway","Rowland Institute","","11","Cambridge Parkway","","1 - East Cambridge","Complete","1981","","","","","70,000","0","0.00","Office/R&D",,," ","42.36406133966","-71.07777691595","POINT (-71.0777769159513 42.3640613396564)"
"520","Spinelli Place","Intermetrics Building","","","Spinelli Place","","12 - Cambridge Highlands","Complete","1982","Charles Gulesarian","","","","42,000","0","0.00","Office/R&D",,," ","42.39055797552","-71.1533311608","POINT (-71.153331160799 42.3905579755246)"
"525","185 Albany Street","185 Albany Street","","185","Albany Street","","5 - Cambridgeport","Complete","1982","Stimpson Trust","","","","48,000","0","0.00","Office/R&D",,," ","42.3595991683","-71.09960412795","POINT (-71.0996041279541 42.3595991682996)"
"529","40 Erie Street","40 Erie Street","","40","Erie Street","","5 - Cambridgeport","Complete","1982","American Science and Engineering","","","","150,000","0","0.00","Office/R&D",,," ","42.35741948226","-71.10422759938","POINT (-71.1042275993796 42.3574194822638)"
"535","Putnam and Sidney","Fort Washington Townhouses","","","Putnam and Sidney","","5 - Cambridgeport","Complete","1982","FAR Group","","","","0","0","0.00","Residential","20",," ","42.3566883547","-71.10712615382","POINT (-71.1071261538241 42.3566883547039)"
"546","161 First Street","Nicholson Building","","161","First Street","","1 - East Cambridge","Complete","1982","St. James Development","","PB243","","45,000","0","0.00","Office/R&D",,," ","42.36555669273","-71.07823365272","POINT (-71.078233652718 42.3655566927314)"
"547","215 First Street","The Athenaeum Building","","215","First Street","","1 - East Cambridge","Complete","1982","Athenaeum Group","","","","340,000","0","0.00","Office/R&D",,," ","42.36420635176","-71.07854373794","POINT (-71.0785437379441 42.3642063517587)"
"551","101 Main Street","Riverfront Office Park Phase 1","","101","Main Street","","1 - East Cambridge","Complete","1982","","","","","330,200","0","0.00","Office/R&D",,," ","42.36220993124","-71.08158348557","POINT (-71.0815834855673 42.3622099312422)"
"587","1000 Massachusetts Avenue","1000 Massachusetts Avenue","","1000","Massachusetts Avenue","","7 - Riverside","Complete","1982","Spaulding & Slye/ Symmes Maini & McKee","","PB023","","108,000","0","0.00","Office/R&D",,," ","42.36894541997","-71.11092413453","POINT (-71.1109241345282 42.3689454199717)"
"511","1 Alewife Place","1 Alewife Place","","1","Alewife Place","","10 - West Cambridge","Complete","1983","Schochet Assoc./ Stubbins","","","","225,526","0","0.00","Office/R&D",,," ","42.39834671962","-71.13991435025","POINT (-71.1399143502489 42.3983467196212)"
"526","195 Albany Street","195 Albany Street","","195","Albany Street","","5 - Cambridgeport","Complete","1983","Stimpson Trust","","","","48,000","0","0.00","Office/R&D",,," ","42.35954955264","-71.09965511011","POINT (-71.0996551101138 42.3595495526385)"
"528","12 Emily Street","12 Emily Street","","12","Emily Street","","5 - Cambridgeport","Complete","1983","MIT","","","","32,000","0","0.00","Heavy Industry",,," ","42.35982137055","-71.1045040596","POINT (-71.1045040596034 42.3598213705451)"
"568","4 Cambridge Center","4 Cambridge Center","","4","Cambridge Center","","2 - MIT / Area 2","Complete","1983","Boston Properties","","","","225,000","0","0.00","Office/R&D",,," ","42.36337668117","-71.08652606544","POINT (-71.0865260654399 42.3633766811668)"
"569","5 Cambridge Center","5 Cambridge Center","","5","Cambridge Center","","2 - MIT / Area 2","Complete","1983","Boston Properties","","","","250,000","0","0.00","Office/R&D",,," ","42.36263486366","-71.08711579104","POINT (-71.087115791042 42.3626348636581)"
"514","125 Cambridgepark Drive","125 Cambridgepark Drive","","125","Cambridgepark Drive","","11 - North Cambridge","Complete","1984","Spaulding &Slye/Catalano","","PB026","","184,000","0","0.00","Office/R&D",,," ","42.39507529074","-71.14575383931","POINT (-71.1457538393149 42.3950752907362)"
"530","60 Hamilton Street","60 Hamilton Street","","60","Hamilton Street","","5 - Cambridgeport","Complete","1984","FAR Group","","","","11,000","0","0.00","Office/R&D",,," ","42.35790202467","-71.10562665698","POINT (-71.1056266569764 42.3579020246662)"
"537","5 Cambridge Parkway","Sonesta Hotel","","5","Cambridge Parkway","","1 - East Cambridge","Complete","1984","","","PB052","","0","0","0.00","Hotel",,"200"," ","42.36684218666","-71.07488374553","POINT (-71.0748837455325 42.3668421866634)"
"548","245 First Street","Riverview Building Phase I","","245","First Street","","1 - East Cambridge","Complete","1984","Congress Group","","PB031","","115,000","0","0.00","Office/R&D",,," ","42.36353916012","-71.07872349364","POINT (-71.0787234936368 42.3635391601232)"
"555","222 Third Street","American Net & Twine Building","","222","Third Street","","1 - East Cambridge","Complete","1984","Gen. Inv. & Dev. Co./ Niles Sutphin","","","","130,000","0","0.00","Office/R&D",,," ","42.36707827469","-71.08099098017","POINT (-71.0809909801686 42.3670782746948)"
"570","9 Cambridge Center","Whitehead Institute","","9","Cambridge Center","","2 - MIT / Area 2","Complete","1984","Boston Properties","","","","155,000","0","0.00","Office/R&D",,," ","42.36303723231","-71.08963009281","POINT (-71.0896300928097 42.3630372323129)"
"573","14 Cambridge Center","Biogen","","14","Cambridge Center","","2 - MIT / Area 2","Complete","1984","Boston Properties","","","","67,000","0","0.00","Office/R&D",,," ","42.36573598029","-71.08680518333","POINT (-71.0868051833276 42.3657359802891)"
"576","1 Kendall Square","Phases 3/4","","1","Kendall Square","","3 - Wellington Harrington","Complete","1984","The Athenaeum Group","","","","120,000","0","0.00","Office/R&D",,," ","42.36664177627","-71.09020430744","POINT (-71.0902043074383 42.3666417762689)"
