"Project ID","Project Name","Address","Street Number","Street Name","Map-Lot","Status","Year Complete","Latitude","Longitude","Coordinates"
"821","Healthpeak PUD","","",""," 267.4-254","Permitting","","42.3931","-71.1499","42 3931   "
"792","Alewife Park - Building 5","4 Alewife Park","4","Alewife Park"," 269-135","Building Permit Granted","","42.3981","-71.1374","42 3980706501372   "
"749","Jefferson Park Federal Revitalization","1 Jackson Place","1","Jackson Place"," 268A-51","Building Permit Granted","","42.3922","-71.135","42 392173   "
"821","Healthpeak PUD","","",""," 267F-391","Permitting","","42.3931","-71.1499","42 3931   "
"829","11 Ivy St","11 Ivy St","11","Ivy St","262-24","Building Permit Granted","","42.3859","-71.1338","42 3859   "
"616","First Street PUD - Parcel A","85-139 First Street","85-139","First Street"," 10-34","Withdrawn","","42.3672","-71.0779","42 3671597964   "
"821","Healthpeak PUD","","",""," 267.3-228","Permitting","","42.3931","-71.1499","42 3931   "
"847","15 Fairmont St","15 Fairmont Street","15","Fairmont Street","104-14","Building Permit Granted","","42.3614","-71.11","42 3614   "
"821","Healthpeak PUD","","",""," 267.3-277","Permitting","","42.3931","-71.1499","42 3931   "
"761","150 Cambridgepark Drive","150 Cambridgepark Drive","150","Cambridgepark Drive","267.4-319","Building Permit Granted","","42.3944","-71.1461","42 394396   "
"849","723-731 Cambridge Street","723-731 Cambridge Street","723-731","Cambridge Street"," 36-243","Zoning Permit Granted or As of Right","","42.3724","-71.0888","42 3724   "
"803","Kendall Common - Building C1","25 Broadway","25","Broadway","44-71","Zoning Permit Granted or As of Right","","42.3636","-71.0853","42 3635668752086   "
"691","MXD Infill - 119-123 Broadway","119-123 Broadway","119-123","Broadway","43-83","Building Permit Granted","","42.3646","-71.0882","42 364587   "
"788","4 Mellen Street/1627 Massachusetts Ave","4 Mellen Street","4","Mellen Street","157-1","Building Permit Granted","","42.3812","-71.1194","42 3811720155988   "
"796","235 Third Street","235 Third Street","235","Third Street","27-34","Zoning Permit Granted or As of Right","","42.3673","-71.0817","42 3672945137093   "
"805","35 Cherry Street","35 Cherry Street","35","Cherry Street","75-118","Building Permit Granted","","42.3641","-71.0977","42 364145592668   "
"796","235 Third Street","235 Third Street","235","Third Street"," 27-35","Zoning Permit Granted or As of Right","","42.3673","-71.0817","42 3672945137093   "
"742","600 Massachusetts Avenue","600 Massachusetts Avenue","600","Massachusetts Avenue","106-124","Withdrawn","","42.3648","-71.1033","42 3647909999999   "
"757","160-180 Fawcett Street","160-180 Fawcett Street","160-180","Fawcett Street","267.4-295","Withdrawn","","42.3944","-71.15","42 3943799999999   "
"821","Healthpeak PUD","","",""," 267.4-321","Permitting","","42.3931","-71.1499","42 3931   "
"821","Healthpeak PUD","","",""," 267D-325","Permitting","","42.3931","-71.1499","42 3931   "
"659","Somerbridge Hotel","263 Msgr. O'Brien Highway","263","Msgr. O'Brien Highway","7-35","Zoning Permit Granted or As of Right","","42.3738","-71.0815","42 373752   "
"225","195 First Street","195 First Street","195","First Street","","Withdrawn","","42.3647","-71.0785","42 3647310436493   "
"841","5 Craigie Circle","5 Craigie Circle","5","Craigie Circle","224-42","Building Permit Granted","","42.3793","-71.1274","42 3793   "
"616","First Street PUD - Parcel A","85-139 First Street","85-139","First Street"," 18-65","Withdrawn","","42.3672","-71.0779","42 3671597964   "
"826","MXD Infill - 105 Broadway (Building E)","105 Broadway","105","Broadway","43-82","Approved PUD/Master Plan Development Remaining","","42.3644","-71.0875","42 3644   "
"711","74 Oxford Street","74 Oxford Street","74","Oxford Street","150-125","Withdrawn","","42.3817","-71.1161","42 3817499999999   "
"236","Cambridge Research Park - 320-330 Third Street","320-330 Third Street","320-330","Third Street","14-64","Building Permit Granted","","42.3641","-71.0827","42 3641474380998   "
"808","28-30 Wendell Street","28-30 Wendell Street","28-30","Wendell Street"," 156-33","Zoning Permit Granted or As of Right","","42.3814","-71.1172","42 3814   "
"821","Healthpeak PUD","","",""," 267F-295","Permitting","","42.3931","-71.1499","42 3931   "
"821","Healthpeak PUD","","",""," 267.3-276","Permitting","","42.3931","-71.1499","42 3931   "
"783","Cambridgeside Redevelopment - Core Mall Retail Space","100 Cambridgeside Place","100","Cambridgeside Place","8-89","Building Permit Granted","","42.368","-71.0764","42 368028   "
"741","Kendall Common - Development Remaining","","",""," 44-71","Approved PUD/Master Plan Development Remaining","","42.3645","-71.0856","42 364513   "
"830","847 Massachusetts Avenue","847 Massachusetts Ave","847","Massachusetts Ave","118-1","Building Permit Granted","","42.3675","-71.1067","42 3675   "
"616","First Street PUD - Parcel A","85-139 First Street","85-139","First Street"," 10-35","Withdrawn","","42.3672","-71.0779","42 3671597964   "
"821","Healthpeak PUD","","",""," 267.4-295","Permitting","","42.3931","-71.1499","42 3931   "
"821","Healthpeak PUD","","",""," 267.3-279","Permitting","","42.3931","-71.1499","42 3931   "
"823","12-14 Laurel Street","12-14 Laurel Street","12-14","Laurel Street","127-96","Pre-Permitting","","42.3628","-71.1108","42 36280666   "
"769","Cambridge Crossing (North Point) - Building Q2","121 Morgan Avenue","121","Morgan Avenue","1A-193","Building Permit Granted","","42.3726","-71.0774","42 3725836538105   "
"846","15 Forest St","15 Forest Street","15","Forest Street","153-38","Building Permit Granted","","42.3854","-71.1172","42 3854   "
"800","815 Somerville Avenue","815 Somerville Avenue","815","Somerville Avenue","152-52","Zoning Permit Granted or As of Right","","42.3883","-71.1181","42 3882778729996   "
"821","Healthpeak PUD","","",""," 267.3-280","Permitting","","42.3931","-71.1499","42 3931   "
"810","Corcoran Park Redevelopment Phase I","8-12 May St","8-12","May St","256-106","Zoning Permit Granted or As of Right","","42.3767","-71.1538","42 3767   "
"821","Healthpeak PUD","","",""," 267F-279","Permitting","","42.3931","-71.1499","42 3931   "
"808","28-30 Wendell Street","28-30 Wendell Street","28-30","Wendell Street","156-83","Zoning Permit Granted or As of Right","","42.3814","-71.1172","42 3814   "
"818","350 Massachusetts Ave","350 Massachusetts Ave","350","Massachusetts Ave","69-159","Zoning Permit Granted or As of Right","","42.3625","-71.0996","42 36247625   "
"750","Walden Square Apartments II","102 Sherman Street","102","Sherman Street","203B-66","Zoning Permit Granted or As of Right","","42.3892","-71.1306","42 38915   "
"793","Alewife Park - Parking Garage","6 Alewife Park","6","Alewife Park","269-131","Building Permit Granted","","42.3976","-71.1385","42 3976383554105   "
"745","2072 Massachusetts Avenue","2072 Massachusetts Avenue","2072","Massachusetts Avenue","200-22","Withdrawn","","42.391","-71.1233","42 39101   "
"749","Jefferson Park Federal Revitalization","1 Jackson Place","1","Jackson Place"," 268A-43","Building Permit Granted","","42.3922","-71.135","42 392173   "
"825","322 Prospect St","322 Prospect Street","322","Prospect Street","84-56","Zoning Permit Granted or As of Right","","42.373","-71.0982","42 373   "
"616","First Street PUD - Parcel A","85-139 First Street","85-139","First Street"," 10-39","Withdrawn","","42.3672","-71.0779","42 3671597964   "
"844","96 Jackson St","96 Jackson Street","96","Jackson Street","190-45","Building Permit Granted","","42.3961","-71.1356","42 3961   "
"729","Gaslight Building","711-727 Massachusetts Avenue","711-727","Massachusetts Avenue","107-8","Building Permit Granted","","42.3663","-71.1047","42 3662899999999   "
"739","Rindge Commons Phase 2","430 Rindge Avenue","430","Rindge Avenue","268B-45","Zoning Permit Granted or As of Right","","42.3926","-71.1403","42 3925610132026   "
"777","15 and 45 Wilson Road","40 Smith Place","40","Smith Place"," 267.4-312","Withdrawn","","42.3919","-71.1505","42 391905511732   "
"848","70 Walden Street","70 Walden Street","70","Walden Street","201-33","Building Permit Granted","","42.3886","-71.1249","42 3886   "
"749","Jefferson Park Federal Revitalization","1 Jackson Place","1","Jackson Place"," 268A-50","Building Permit Granted","","42.3922","-71.135","42 392173   "
"821","Healthpeak PUD","","",""," 267F-296","Permitting","","42.3931","-71.1499","42 3931   "
"821","Healthpeak PUD","","",""," 267D-293","Permitting","","42.3931","-71.1499","42 3931   "
"809","Cambridge Fire Department Headquarters","491 Broadway","491","Broadway","137-1","Building Permit Granted","","42.3753","-71.1148","42 3753   "
"816","Frost Terrace II","28 Roseland St","28","Roseland St","153-3","Pre-Permitting","","42.3865","-71.1179","42 38653251   "
"835","16-28 Porter St","16-28 Porter St","16-28","Porter St","36-272","Pre-Permitting","","42.3734","-71.0887","42 3734   "
"821","Healthpeak PUD","","",""," 267D-258","Permitting","","42.3931","-71.1499","42 3931   "
"807","37 Brookline Street","37 Brookline Street","37","Brookline Street","93-115","Zoning Permit Granted or As of Right","","42.3628","-71.1027","42 3628   "
"821","Healthpeak PUD","","",""," 267E-242","Permitting","","42.3931","-71.1499","42 3931   "
"822","Broadway Park","240 Broadway","240","Broadway","76-49","Zoning Permit Granted or As of Right","","42.3669","-71.0953","42 36686423   "
"821","Healthpeak PUD","","",""," 267D-256","Permitting","","42.3931","-71.1499","42 3931   "
"821","Healthpeak PUD","","",""," 267F-291","Permitting","","42.3931","-71.1499","42 3931   "
"823","12-14 Laurel Street","12-14 Laurel Street","12-14","Laurel Street"," 127-97","Pre-Permitting","","42.3628","-71.1108","42 36280666   "
"828","309 Broadway","309 Broadway","309","Broadway","87-136","Building Permit Granted","","42.3693","-71.1001","42 3693   "
"840","34 Wendell St","34 Wendell Street","34","Wendell Street","156-36","Building Permit Granted","","42.3814","-71.1169","42 3814   "
"741","Kendall Common - Development Remaining","","",""," 29-48","Approved PUD/Master Plan Development Remaining","","42.3645","-71.0856","42 364513   "
"760","49 Sixth Street","49 Sixth Street","49","Sixth Street","34-111","Building Permit Granted","","42.3706","-71.0856","42 37057   "
"831","9 Wyman Rd","9 Wyman Rd","9","Wyman Rd","231-37","Zoning Permit Granted or As of Right","","42.3812","-71.1332","42 3812   "
"832","1740 Massachusetts Ave","1740 Massachusetts Ave","1740","Massachusetts Ave","175-37","Zoning Permit Granted or As of Right","","42.3846","-71.1198","42 3846   "
"741","Kendall Common - Development Remaining","","",""," 28-39","Approved PUD/Master Plan Development Remaining","","42.3645","-71.0856","42 364513   "
"811","2072 Massachusetts Avenue","2072 Massachusetts Avenue","2072","Massachusetts Avenue","200-22","Zoning Permit Granted or As of Right","","42.391","-71.1233","42 391   "
"833","49 Sheridan St","49 Sheridan St","49","Sheridan St","203B-69","Zoning Permit Granted or As of Right","","42.3882","-71.1306","42 3882   "
"804","8 Winter Street","8 Winter Street","8","Winter Street","21-121","Zoning Permit Granted or As of Right","","42.3723","-71.0798","42 3723217244573   "
"821","Healthpeak PUD","","",""," 267.3-278","Permitting","","42.3931","-71.1499","42 3931   "
"44","274-290 River Street","274-290 River Street","274-290","River Street","127-132","Withdrawn","","42.3624","-71.1128","42 3624067419062   "
"793","Alewife Park - Parking Garage","6 Alewife Park","6","Alewife Park"," 269-135","Building Permit Granted","","42.3976","-71.1385","42 3976383554105   "
"730","16-18A Forest Street","16-18A Forest Street","16-18A","Forest Street","154-91","Withdrawn","","42.385","-71.1169","42 3850139999999   "
"817","71 Cherry Street","71 Cherry Street","71","Cherry Street","75-172","Pre-Permitting","","42.3647","-71.0977","42 36471659   "
"741","Kendall Common - Development Remaining","","","","29-39","Approved PUD/Master Plan Development Remaining","","42.3645","-71.0856","42 364513   "
"724","544-550 Massachusetts Avenue","544-550 Massachusetts Avenue","544-550","Massachusetts Avenue","93-74","Zoning Permit Granted or As of Right","","42.3643","-71.1024","42 3643399999999   "
"616","First Street PUD - Parcel A","85-139 First Street","85-139","First Street","10-21","Withdrawn","","42.3672","-71.0779","42 3671597964   "
"755","The Garage/36 JFK Street/33 Dunster Street","83-91 Mount Auburn Street","83-91","Mount Auburn Street","160-11","Zoning Permit Granted or As of Right","","42.3727","-71.1199","42 37274   "
"821","Healthpeak PUD","","",""," 267.4-247","Permitting","","42.3931","-71.1499","42 3931   "
"775","Cambridgeside Redevelopment - 150 Cambridgeside Place","150 Cambridgeside Place","150","Cambridgeside Place","8-91","Zoning Permit Granted or As of Right","","42.3675","-71.0772","42 3674805965226   "
"42","Cambridge Crossing (North Point) - Remaining Master Plan","","","","1A-206","Approved PUD/Master Plan Development Remaining","","42.3722","-71.0732","42 3721674932998   "
"777","15 and 45 Wilson Road","40 Smith Place","40","Smith Place","267.4-311","Withdrawn","","42.3919","-71.1505","42 391905511732   "
"837","350 Rindge Ave","336-350 Rindge Avenue","336-350","Rindge Avenue","268B-49","Pre-Permitting","","42.3937","-71.1379","42 3937   "
"819","Harvard - Pritzker Hall","1807 Cambridge Street","1807","Cambridge Street","143-17","Building Permit Granted","","42.3761","-71.1154","42 37607127   "
"821","Healthpeak PUD","","",""," 267F-281","Permitting","","42.3931","-71.1499","42 3931   "
"749","Jefferson Park Federal Revitalization","1 Jackson Place","1","Jackson Place"," 268A-49","Building Permit Granted","","42.3922","-71.135","42 392173   "
"616","First Street PUD - Parcel A","85-139 First Street","85-139","First Street"," 10-38","Withdrawn","","42.3672","-71.0779","42 3671597964   "
"791","Alewife Park - Building 4","2 Alewife Park","2","Alewife Park","269-131","Building Permit Granted","","42.3984","-71.137","42 398408491842   "
"759","MXD Infill - 250 Binney Street (Building D)","250 Binney Street","250","Binney Street","30-35","Zoning Permit Granted or As of Right","","42.3656","-71.0867","42 365631   "
"821","Healthpeak PUD","","",""," 267F-301","Permitting","","42.3931","-71.1499","42 3931   "
"821","Healthpeak PUD","","",""," 267E-294","Permitting","","42.3931","-71.1499","42 3931   "
"821","Healthpeak PUD","","",""," 267.4-284","Permitting","","42.3931","-71.1499","42 3931   "
"780","125 Cambridgepark Drive","125 Cambridgepark Drive","125","Cambridgepark Drive","267.4-288","Building Permit Granted","","42.3955","-71.1459","42 3954657937906   "
"236","Cambridge Research Park - 320-330 Third Street","320-330 Third Street","320-330","Third Street"," 14-49","Building Permit Granted","","42.3641","-71.0827","42 3641474380998   "
"361","34-36 Hampshire Street","34-36 Hampshire Street","34-36","Hampshire Street","42-6","Expired","","42.3662","-71.092","42 3662298416   "
"821","Healthpeak PUD","","",""," 267.4-210","Permitting","","42.3931","-71.1499","42 3931   "
"821","Healthpeak PUD","","",""," 267C-91","Permitting","","42.3931","-71.1499","42 3931   "
"741","Kendall Common - Development Remaining","","",""," 29-45","Approved PUD/Master Plan Development Remaining","","42.3645","-71.0856","42 364513   "
"824","54 Hayes St","54 Hayes Street","54","Hayes Street","122-100","Building Permit Granted","","42.3664","-71.1114","42 3664   "
"802","87-101 Blanchard Road","99 Blanchard Road","99","Blanchard Road","267.3-28","Building Permit Granted","","42.3942","-71.158","42 3942294532069   "
"814","1826 and 1840 Massachusetts Ave","1826 and 1840 Massachusetts Ave","1826 and 1840","Massachusetts Ave","177-71","Pre-Permitting","","42.3871","-71.1195","42 38710132   "
"677","MIT Kendall Square - Building 2","200 Main Street","200","Main Street","47-85","Building Permit Granted","","42.3618","-71.084","42 3618239999999   "
"779","First Street PUD - Parcel E","75 First Street","75","First Street"," 18-65","Zoning Permit Granted or As of Right","","42.3684","-71.0777","42 3684364646963   "
"789","6 Brookline Street","6 Brookline Street","6","Brookline Street","92-88","Pre-Permitting","","42.3636","-71.1015","42 363625954611   "
"791","Alewife Park - Building 4","2 Alewife Park","2","Alewife Park"," 269-135","Building Permit Granted","","42.3984","-71.137","42 398408491842   "
"623","1718-1720 Massachusetts Avenue","1718-1720 Massachusetts Avenue","1718-1720","Massachusetts Avenue","","Withdrawn","","42.3839","-71.1201","42 3838606703   "
